ERROR: logging before flag.Parse: E0327 12:21:41.664935       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:21:51.668133       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc42034e6c0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc42034fbc0} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc42034e6c0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc42034fbc0} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:21:51.668852       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:22:01.672633       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI} cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4203189f0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4203190b0} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4203189f0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4203190b0} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:22:01.673702       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:22:11.677007       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[memory:{i:{value:0 scale:0} d:{Dec:0xc4203194d0} s: Format:BinarySI} cpu:{i:{value:0 scale:0} d:{Dec:0xc4203191d0} s: Format:DecimalSI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4203191d0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4203194d0} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:22:11.677766       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:22:21.681299       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4202a6b10} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4202a6e70} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4202a6b10} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4202a6e70} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:22:21.682007       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:22:31.685708       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc42023a5d0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc42023a900} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc42023a5d0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc42023a900} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:22:31.686545       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:22:41.690121       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc420483320} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4202a60f0} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc420483320} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4202a60f0} s: Format:BinarySI}]}
